id,tipo_de_publicacion,tipo_de_producto,caption
0,novedades,velas,"📢 ¡Novedad en la tienda! ✨ Hoy estoy muy emocionada de presentarte un producto muy especial: velitas aromáticas naturales.
Estas velitas son únicas porque cada una está hecha en un tronco natural vaciado y tratado a mano, creando un recipiente exclusivo y diferente. No hay dos iguales, por lo que tu velita será única y especial. Además, están elaboradas con cera de soja 100% natural y aromas irresistibles.

Por ahora, puedes elegir entre dos fragancias:

🔥 Canela especiada – Un aroma dulce y envolvente que recuerda a tardes acogedoras con una taza de té y un buen libro. Si estás leyendo fantasía, esta velita te hará sentir dentro de tu historia.

💜 Lavanda fresca – Un toque floral y relajante, perfecto para acompañar lecturas románticas o para regalar en San Valentín. Ideal para desconectar y transportarte a otro mundo.

🌿 Aromas 100% naturales 

Este mes tenemos unidades limitadas.  Si quieres transformar tu rincón de lectura en un espacio mágico, escríbeme un mensaje. ¡Estaré encantada de ayudarte!

💬 Cuéntame en los comentarios qué aroma te gusta más o qué fragancia te gustaría para la próxima colección. 💕"
1,promocion,marcapaginas,"¿Quién más ha sentido un antes y un después en su vida lectora tras leer la saga de ACOTAR? Estos libros son para releerlos una y otra vez y qué mejor manera que usando este precioso marcapáginas a juego. El diseño está basado en los elementos más importantes de la historia. Tenemos la espada que atraviesa en vertical y simboliza la fuerza y las batallas a las que se enfrentan nuestros protagonistas, más abajo las alas de Rhysand, la luna de la corte noche y las mágicas montañas de velaris. Por ultimo se encuentra un libro abierto que te invita a entrar en esta maravillosa historia. ¿Qué os parece el diseño? Si queréis más información sobre los accesorios lectores podéis mirar la guía de compra y el catálogo de productos en los links de la biografía. #libros #acotar #rhysand #feyre #marcapaginas #artesanía #madera #hechoamano #lectura"
2,novedades,sujetapaginas,"✨SOPORTES DE PÁGINAS✨

He hecho una nueva tirada de soportes que ya están disponibles!! Gracias por todo el apoyo que le habéis dado a este nuevo producto de la tienda en tan poquito tiempo.🥰❤️
Estos soportes decorados con brillitos y flores secas naturales son un accesorio de lectura perfecto para estos días de primavera que entran.🌸🌷
Mi favorito de esta tanda es el naranja de la primera foto. ¿Cuál es el vuestro? Os leo!!❤️"
3,novedades,velas,"🍦 Apreciación de la velita de Vainilla 🍦

Hoy quiero presentaros más a fondo esta nueva velita. Con este aroma quise hacer algo especial y diferente, algo que reflejara lo que para mí es la primavera: un equilibrio entre lo dulce y lo floral, los días soleados y los momentos de relajación en la naturaleza.

Esta velita tiene una decoración muy especial: melts con forma de dulces, que al encenderse se funden junto con la cera, intensificando el aroma y haciendo que la vela dure aún más.

Si queréis conseguir vuestra velita de Vainilla, podéis escribirme por mensaje directo o encontrarla en mi página de Vinted. ¡Espero que os encante! ✨

#vainilla #primavera #velasaromaticas
#vela #dulce #sweet #vanilla
#natural #handmade #hechoamano #aroma #artesanía"
4,promocion,multitipo,"Hola!! Hoy os traigo un post muy especial con motivo de los primeros 1000 seguidores de la cuenta 😊🥳🎊
Como agradecimiento por todo vuestro apoyo a mi pequeño negocio, quería daros la posibilidad de conocer a Cozy Tales y a la persona que hay detrás de la cuenta un poco más.
Gracias por todos los comentarios, mensajes, me gusta... No sabéis lo que significa para mí que tantas personas vean este contenido y puedan compartir conmigo este viaje que empecé hace 3 meses sin saber cómo iría. Esta cuenta no sería nada sin vosotras. Espero que disfrutéis tanto como yo este espacio que fue creado para que fuese un refugio, relajante y seguro, para que las lectoras compartan su amor por los libros y puedan crear su ambiente cozy con productos naturales. 
Gracias, una vez más. ❤️"
5,promocion,velas,"Mirad lo que me ha llegado😭

☕Cuando vi la nueva colección de velitas de @cozytales_books me enamoré profundamente.

☕He elegido este modelo primaveral con olor a vainilla y melts en forma de nubes y dulces. Dan ganas de comérsela de lo bien que huele y lo monísima que es. Y el soporte para libros es alucinante; con flores secas naturales y mucho brillo.

☕Os animo a que paséis por su perfil y os pilleis todo lo que tiene porque es increíble.

☕Laura envía los pedidos con sumo cuidado y cariño. Desde el detallito de las pegatinas, las bolsitas, las tarjetas, TODO. Y la calidad es excelente.

Mil gracias, de verdad✨🤍"
6,novedades,stickers,"✨Nuevos diseños STICKERS✨

Hola!! Hoy os traigo una novedad que tenía muchas ganas de lanzar: la coleccion COZY PETS😊🐶🐱🦕

Estos stickers tan monos están basados en animalitos lectores y cozy. 
Os comparto tambien los bocetos que hice antes de digitalizarlos y darle color, así veis un poco de como fue su creación a mano.🥰

Si os gusta decorar vuestros objetos más especiales para hacerlos únicos y sois amantes de los animalitos (cómo yo🤭) no os pueden faltar estas pegatinas en vuestra colección.

El pack incluye los 5 stickers que veís: el bebé dinosaurio, el dragón sobre libros, el gatito escondido detrás de libros, el perrito cozy y el mapache con bufanda❤️

Además, podéis elegir entre los stickers normales o los holográficos, que brillan con el reflejo de la luz.✨

Adelanto que esta colección constará de 4 partes, cada una correspondiente a una estación del año. Esta primera corresponde a la de invierno.❄️

Si os han gustado y ya tenéis el sitio perfecto en el que colocarlos, podéis hablarme a MD para conseguir el tuyo 💌

¿Qué os parece esta novedad? ¿Cuál es vuestro sticker favorito de la colección? Os leo en comentarios!!👀

#stickers #cozy #libros #diseño #pegatinas
#decoracion #bookstagram #booktok #kindle
#coleccion"
7,novedades,sujetapaginas,"🌸✨ ¡Nuevo producto en la tienda! ✨🌸

Llevaba tiempo deseando enseñaros este nuevo producto que diseñé inspirándome en la primavera, y por fin ha llegado el momento. Os presento los soportes para páginas de resina, diseñados para hacer vuestra lectura aún más cómoda y especial. 📖💖

Cada uno está decorado con flores secas y un toque de brillo, convirtiéndolos en piezas irrepetibles. Al ser artesanales, no hay dos iguales, pero todos comparten la misma esencia. Algunas son totalmente lisas mientras que en otras puedes notar el relieve de las flores, lo que hace que la belleza de cada pieza sea única e inigualable.🌿✨

Si te encanta leer al aire libre, tomar café con un libro en mano o simplemente buscas un detallito especial para tu rincón de lectura, este soporte te va a enamorar. ¡No te quedes sin el tuyo esta primavera! 🌸📚💛

#libros #lecturas #floral #primavera #paginas #artesanía #cozy #aesthetic"
8,promocion,velas,"Hola!! El vídeo de hoy es súper especial. Os quería enseñar uno de los regalitos que me ha hecho mi novio por mi cumple de una de mis tiendas favoritas de esta plataforma. 
Esta tiendita no podía ser otra que la de @secretgardenscandles.❤️😊
Os digo de corazón que esta chica, además de ser súper agradable y maravillosa, hace un trabajo chulísimo y muy currado. Os quería mostrar en este vídeo todos los detallitos que me han llegado con el pedido de la velita de Once Upon a Broken Heart. 
Agradezco muchísimo a Clara el cariño que le ha puesto a mi pedido (y también a mi novio por este regalazo jajaja)🤭❤️
Yo desde luego repetiré con ella, porque la velita y los melts huelen increíble.

Contadme, ¿conocíais esta cuenta?¿Tenéis la suerte de tener una velita suya en casa? Os leo!!👀❤️

#libros #velas #onceuponabrokenheart #lectura #bookstagram"
9,promocion,velas,"¿Quién más ama levantarse y disfrutar de un buen café y su aroma? Estas velitas son ideales si amas las mañanas de café, libro y relax. Espero que tengáis un buen sábado ❤️ #findesemana #café #libros #velasaromaticas #aroma #relax #bookstagram"
