id,caption
0,"⭐ Dale un toque único a tus días con nuestros llaveros y colgantes literarios⭐
En Cozy Tales, creemos que los pequeños detalles marcan la diferencia, y nuestros llaveros y colgantes están diseñados para que lleves contigo algo que te inspire, te identifique y te haga sonreír. 
¿Quieres hacer que tus llaves, bolsos, mochilas, rincones de casa... sean aún más únicos y especiales?
Si te interesan estos especiales diseños, puedes encontrar como obtenerlos en la guía de compra de los links o mandarnos un mensaje directo. ¡Estaremos encantados de hablar contigo!
Para más accesorios lectores únicos, visita nuestro catálogo de productos en el link de la biografía.

#libros #lectora #lectura #acotar #alasdesangre #artesanía #handmade #original #llaveros #marcapaginas"
1,"Hoy vengo a hablaros de una velita muy especial: Dragon Blood. Sé que muchas teníais dudas sobre su aroma, así que aquí os cuento todo.

Su fragancia es dulce y cálida, pero nada empalagosa. No hay un olor exacto con el que compararla, pero si tuviera que describirla en pocas palabras, diría que huele a un perfume envolvente y reconfortante. Aunque, sinceramente, la mejor forma de descubrirlo es que la pruebes tú misma…

Además, esta velita es perfecta para quienes sienten conexión con su espiritualidad, creen en la energía que nos rodea y mueve el mundo y entienden el poder de las pequeñas cositas que son las que más felices nos hacen. Si buscas un ambiente de concentración, calma y armonía, Dragon Blood es para ti.

Cuéntame, ¿ya conocías este aroma? ¿Te animas a probarlo? 💫🕯️💕

#velas
#libros #espiritualidad #cozy #fantasía
#lectura #aesthetic #historia"
2,"¿Quién más ha sentido un antes y un después en su vida lectora tras leer la saga de ACOTAR? 
Estos libros son para releerlos una y otra vez y qué mejor manera que usando este precioso marcapáginas a juego.
El diseño está basado en los elementos más importantes de la historia. Tenemos la espada que atraviesa en vertical y simboliza la fuerza y las batallas a las que se enfrentan nuestros protagonistas, más abajo las alas de Rhysand, la luna de la corte noche y las mágicas montañas de velaris. Por ultimo se encuentra un libro abierto que te invita a entrar en esta maravillosa historia.

¿Qué os parece el diseño?

Si queréis más información sobre los accesorios lectores podéis mirar la guía de compra y el catálogo de productos en los links de la biografía.

#libros #acotar #rhysand #feyre #marcapaginas #artesanía #madera #hechoamano #lectura"
3,"¿A quién más le encantan los libros de los chicos de Tommen?🤭💕
Este marcapáginas no sólo es perfecto para usarlo en estos libros tan especiales, sino que además traen el código de una playlist con las canciones más importantes de la saga.
Quién es vuestro personaje favorito hasta ahora? Os leo en comentarios 🥰

#libros
#binding13 #chloewalsh #artesanía #hechoamano #cozy #regalos"
4,"✨ ¡Nuevo marcapáginas en la tienda! ✨

Si has leído Binding 13, seguro que entiendes por qué necesitaba hacerle un marcapáginas. 💙📖 Esta historia ha sido de mis lecturas favoritas de este año, así que tenía que plasmarla en madera con mucho cariño.

Perfecto para acompañar tu lectura o decorar tu estantería con un pedacito de este libro tan especial. Además, trae grabada una playlist con las canciones más icónicas que aparecen en la historia y que nos recuerdan a los personajes🤭

También salen hoy a la venta los llaveritos de Johnny, Joey y Gibsie, con sus números en el anverso y los símbolos de sus deportes en el reverso (Rugby para Johnny y Gibsie y Hurling para Joey)

¿Quién más no puede parar de pensar en la historia de los chicos de Tommen? Os leo en comentarios. 👀💕

#binding13 #libros #marcapaginas #handmade #lecturas"
5,"Hoy quiero compartir con vosotras un post muy especial sobre uno de mis aromas favoritos: la lavanda. 💜🌿 Si lees el post, descubrirás por qué su fragancia es tan relajante y especial.

A veces, necesitamos detenernos un momento, respirar hondo y disfrutar de esos pequeños placeres que nos hacen sentir bien. Si eres como yo y amas las velitas y los ratitos de lectura, seguro que te encantará tener una vela de lavanda para acompañar esos momentos de calma y autocuidado. ✨📖

Si te animas a conseguir la tuya, escríbeme por mensaje directo. ¡Espero que te guste el post! Cuéntame en comentarios si te gustaría que hiciera lo mismo con los demás aromas de la tienda. 💬💕"
6,"✨ ¿Te gustan estos marcapáginas de madera? Cada uno está pirograbado a mano con muchísimo cariño y detalle, pensado para acompañarte en tus lecturas más especiales. 📖💛

Son piezas únicas, perfectas para marcar las historias que te han dejado huella y, cuando no las estés usando, ¡quedan preciosas decorando tu estantería! 🌿✨

Y si quieres algo aún más personal… puedo crear un marcapáginas inspirado en tu libro favorito. 📚💫 Si tienes alguna idea o te gustan los que ves en la foto escríbeme y hablamos😊.

En la foto hay un diseño nuevo que aún no os había enseñado… 👀 ¿Sabes cuál es? ¡Te leo en comentarios! 💬💕"
7,"📢 ¡Novedad en la tienda! ✨ Hoy estoy muy emocionada de presentarte un producto muy especial: velitas aromáticas naturales.
Estas velitas son únicas porque cada una está hecha en un tronco natural vaciado y tratado a mano, creando un recipiente exclusivo y diferente. No hay dos iguales, por lo que tu velita será única y especial. Además, están elaboradas con cera de soja 100% natural y aromas irresistibles.

Por ahora, puedes elegir entre dos fragancias:

🔥 Canela especiada – Un aroma dulce y envolvente que recuerda a tardes acogedoras con una taza de té y un buen libro. Si estás leyendo fantasía, esta velita te hará sentir dentro de tu historia.

💜 Lavanda fresca – Un toque floral y relajante, perfecto para acompañar lecturas románticas o para regalar en San Valentín. Ideal para desconectar y transportarte a otro mundo.

🌿 Aromas 100% naturales 

Este mes tenemos unidades limitadas.  Si quieres transformar tu rincón de lectura en un espacio mágico, escríbeme un mensaje. ¡Estaré encantada de ayudarte!

💬 Cuéntame en los comentarios qué aroma te gusta más o qué fragancia te gustaría para la próxima colección. 💕"
8,"✨ Así empaco tus velitas literarias ✨

Cada pedido que sale de aquí está lleno de amor, detalles y, por supuesto, el aroma perfecto para acompañar tus lecturas. 📖🕯️💌

Desde el momento en que eliges tu vela hasta que llega a tu puerta, todo está pensado para que vivas una experiencia mágica. ✨📦

📍 Empaque cuidadoso
📍 Detalles especiales
📍 Un pedacito de tu historia en cada envío

Te recuerdo que puedes elegir entre aroma de lavanda y canela, aunque de esta última solo queda una🤭. Además si haces la compra en febrero te llevas un marcapáginas de telita de esquina de REGALO... Hazte con ella!!💫💛

#velas #libros #hechoamano #sanvalentin #regalos #lectura #bookstagram #cozy"
9,"❤️FELIZ MES DEL AMOR Y LA AMISTAD❤️

Quiero anunciaros que con motivo de San Valentín, todos los pedidos que hagáis este mes en la tienda llevarán uno de estos preciosos marcapáginas de tela de REGALO🥰
Os recuerdo que podéis elegir entre todas éstas cositas en Cozy Tales:

📖 MARCAPÁGINAS de madera grabados a mano. Con motivos literarios o personalizados.

🪵VELITAS naturales aromáticas 

🗝️LLAVEROS de madera natural grabados a mano. Diseños disponibles en la tienda o personalizados.

🌸FUNDAS LITERARIAS acolchadas y perfectas para llevar tus libros a cualquier parte.

🦄STICKERS literarios o de ACOTAR. Súper útiles para decorar tu kindle, cuadernos, portátil...

¿Necesitas más información? No dudes en preguntarme por mensaje directo. Estaré encantada de hablar contigo.
Aprovecha esta oportunidad perfecta para tener artículos literarios súper originales🥰

❤️❣️Feliz San Valentín a todas!!❤️❣️

#sanvalentin #AmorPorLosLibros #regalos #libros #bookstagram #artesanía #lectura #hechoamano #madera #marcapaginas"
10,"✨🔥 NUEVAS VELITAS NATURALES 🔥✨
Estoy súper emocionada por enseñaros los nuevos aromas y diseños de velitas naturales. Espero que os encanten, al igual que a mí me ha encantado crearlas. 

🐉✨ Dragon Blood – La joya de esta colección. Misteriosa, poderosa y mágica. Su esencia Dragon Blood ha sido usada durante siglos en el ámbito de la espiritualidad para atraer protección, energía positiva y claridad mental. Además, la hemos decorado con cuarzo rosa, una piedra vinculada al amor propio y la armonía. Si eres de las que devoran la fantasía con romance o las historias llenas de magia, esta vela es para ti. 🏰🔮

☕ Café – Para las que no pueden vivir sin el aroma a café recién hecho. Suave, envolvente y con ese toque achocolatado que tanto nos gusta. Cierra los ojos y siente como si estuvieras bebiendo tu café favorito, libro en mano y el sonido de la lluvia golpeando la ventana. Perfecta si estás leyendo un libro adictivo del que no te puedes despegar. 🌧️📚

🕯️ Canela-Vainilla – Si te quedaste con ganas de la velita de canela que tan pronto se agotó la última vez, prepárate para enamorarte de esta nueva versión con vainilla. Dulce, especiada y reconfortante, es el aroma perfecto para acompañarte en esas tardes de relajación con tu libro favorito. Ideal si tu lectura actual es un romance o una historia cozy que te haga sentir en casa. 🍂📖

Todas nuestras velitas están hechas con cera de soja 100% natural, aromas naturales y recipientes únicos de madera de olivo vaciada y tratada a mano 🌿. Son piezas exclusivas, hechas con amor y respeto por la naturaleza.
💌 Corre a por la tuya antes de que vuelen, las unidades son limitadas. 
¿Cuál de estas tres sería tu compañera perfecta de lectura? ¡Te leo en comentarios! 👇💬"
11,"✨📚 FUNDITAS LITERARIAS: ¡Protege tus libros favoritos! 📚✨

Si eres de las que no pueden ir a ningún lado sin su libro, necesitas una funda literaria que lo cuide y lo mantenga impecable en cada aventura. Nada de esquinas dobladas ni portadas arrugadas, ¡tu lectura merece estar bien protegida! 💕📖

Hoy te traigo estos modelos de fundas acolchadas, hechas a mano con mucho amor y perfectas para acompañarte donde quieras:

🌸 Funda de flores rosa – ¡Última unidad! Si te gusta, no la dejes escapar.

💙 Funda de flores azules – Un diseño elegante y romántico.

🤍 Funda de pelito beige sin botón – Extra suave y acogedora. Disponible solo en tamaño Kindle (y solo queda una).

✨ Funda beige de puntitos – Súper gordita y calentita, perfecta para mimar tu libro. (Quedan 2 unidades).

⚡ Funda casas Harry Potter – Para los más fans del mundo mágico. Disponible en 2 ejemplares.

📢 ¡Stock muy limitado! Si te enamoras de alguna, no dudes en hacerte con ella antes de que vuele.

📌 En historias destacadas te las dejo una a una para que las veas con más detalle.

📩 Para hacer tu pedido, escríbeme por mensaje directo. ¡Me encantará ayudarte a elegir la ideal para ti!
💬 Cuéntame, ¿cuál es tu favorita? ¿Te gustaría ver otros diseños en el futuro? ¡Te leo en comentarios! 👇✨

#fundasliterarias #libros #bookstagram #LecturaCozy #hechoamano #lectura"
12,"✨ EDICIÓN LIMITADA ALAS DE ÓNYX✨
¿Quién más está deseando que llegue el día 22 de enero para poder leer Alas de Onyx?
Para celebrar este lanzamiento he creado este marcapáginas inspirado en su portada, perfecto para hacer una lectura super especial de este libro que llevamos tanto tiempo esperando. Personalmente necesitaba este marcapáginas para sumergirme totalmente en el mundo de Violet y Xaden la semana que viene. He decidido compartirlo con vosotras para que podáis tener la misma experiencia y podáis añadir a vuestra estantería una pieza super especial y única de colección. 
Esta edición de marcapáginas es limitada, solo haré 5 ejemplares, así que si os interesa no dudéis en reservarlo por mensaje directo antes de que se agoten!!
❣️✨"
13,"✨❣️Mi wrapped lector 2024❣️✨

Quiero aprovechar este post para dar las gracias a todas las personas que están apoyando mi cuenta que lleva tan poquito en esta red. Gracias por cada buen comentario, me gusta y visualización. Estoy muy feliz por estar aquí en este maravilloso ambiente de lectura, historias y páginas.

He decidido hacer este resumen de lectura para unirme a todas vosotras que también habéis compartido vuestro año lector. Me encanta este contenido porque creo que se sacan buenísimas recomendaciones y me lo paso genial viendo vuestros resumenes. Espero que vosotras también lo disfrutéis de la misma manera.

Me encantaría saber cómo ha ido vuestro año lector. ¿Habéis tenido buenas lecturas? Os leo!!❤️"
15,"Este es uno de mis últimos diseños: un marcapáginas de madera grabado inspirado en Powerless, hecho con mucho cariño para los amantes de esta maravillosa historia. Cada detalle está pensado para que te acompañe en tus lecturas y haga aún más especial cada momento que pases entre páginas. 🌙📖

Perfecto para quienes quieren un toque único en sus lecturas o un regalo especial para fans de Powerless.

¿Qué te parece? Si quieres llevarte uno igual o tienes alguna idea para personalizarlo con tus libros favoritos, ¡mándame un mensaje! Estoy aquí para ayudarte a crear algo único y lleno de magia. ❤️

#libros #powerless #lectura #regalos #hechoamano #artesanía"
16,"✨STICKERS LECTORES✨

¿Os gustan estos diseños para decorar vuestro kindle, portátil...?
Pronto subiré más stickers muy especiales que estoy preparando y espero que os encanten 🥰"
